"Question"," réponse","categorie","sous_theme","source"
"quelle document sont il necessaire pour payer mes frais d'inscription","un quitus delivrée par l'intendance ","Inscription","Document requis","service administratif"
"c'est quoi le quitus","le quitus est un document contenant des information tel que le niveau ou tu souhaite t'inscrire, la somme que tu devras verser pour l'inscription, la filiere chosis","Inscription","Document requis","service administratif"
"de combien s'eleve les frais de scolarité","les frais de scolarite so variables dependant du cycles( licence ou master)","Inscription","Document requis","service administratif"
"de combien s'eleve les frais de scolarité du cycle licence","les frais de scolarite du cycles licence s'eleve a 525000FCFA","Inscription","Document requis","service administratif"
"de combien s'eleve les frais de scolarité du cycle Master","les frais de scolarite du cycles licence s'eleve a 625000FCFA","Inscription","Document requis","service administratif"
"les frais sont il les meme pour les ingenieurs et inspecteur","oui les frais sont pareil pour les filiere , la difference ce trouve uniquement au niveau cycle","Inscription","Document requis","service administratif"
"Où dois-je payer mes frais d’inscription ?","Tu dois les régler directement à la Campost  ","Inscription","Document requis","service administratif"
"C'est quoi la campost","la campost est une banque partenaire de L'ecole qui sert de lieu ou les  etudiant iront pour payer leurs frais de scolarite","","","service administratif"
"Quel document prouve que j’ai payé mes frais d’inscription ?","Le reçu de paiement, que tu dois joindre à ton dossier pour valider ton inscription.","Inscription","Document requis","service administratif"
"Que se passe-t-il si je ne paie pas mes frais d’inscription ?","Ton inscription est bloquée, même si tu as réussi le concours.","Inscription","Document requis","service administratif"
"À quoi sert la quittance des frais de concours ?","Elle prouve que tu as payé tes droits d’examen et permet d’accepter ton dossier au concours.","Inscription","Document requis","service administratif"
"Quelle est la différence entre la quittance de concours et le reçu d’inscription ?","La quittance concerne le concours, le reçu d’inscription confirme ton admission académique.","Inscription","Document requis","service administratif"
"Quand dois-je payer mes frais de scolarité ?","Juste après ton admission, avant le début des cours.","Inscription","Document requis","service administratif"
"Que dois-je vérifier sur mon reçu de paiement ?","Qu’il porte bien ton nom, ton cycle et le montant exact payé.","Inscription","Document requis","service administratif"
"Est-ce que je peux payer mes frais en ligne ?","Non, le paiement se fait directement à la Campost.","Inscription","Document requis","service administratif"
"Que se passe-t-il si je perds mon reçu de paiement ?","Tu dois demander un duplicata à la caisse ou à la banque, sinon ton inscription ne peut pas être validée.","Inscription","Document requis","service administratif"
"Pourquoi le reçu de paiement est-il si important ?","Parce qu’il est la preuve officielle que tu es inscrit et que tu peux suivre les cours.","Inscription","Document requis","service administratif"
"Quelle pièce prouve mon état civil ?","L’acte de naissance certifié conforme, indispensable pour valider ton identité.","Inscription","Document requis","service administratif"
"Quelle pièce prouve mon niveau académique ?","Ton diplôme du Bac ou équivalent, selon le cycle où tu es admis.","Inscription","Document requis","service administratif"
"Quelle pièce prouve mon aptitude physique ?","Le certificat médical récent, daté de moins de 3 mois.","Inscription","Document requis","service administratif"
"Quelle pièce prouve mon identité officielle ?","La carte nationale d’identité.","Inscription","Document requis","service administratif"
"Quelle pièce prouve que j’ai payé les frais de concours ?","La quittance de paiement du concours.","Inscription","Document requis","service administratif"
"Quelle pièce confirme mon inscription administrative ?","Le formulaire d’inscription rempli et signé.","Inscription","Document requis","service administratif"
"Quelle pièce confirme mon inscription académique ?","Le reçu de paiement des frais de scolarité.","Inscription","Document requis","service administratif"
"Quelle pièce confirme mon inscription personnelle ?","Les photos d’identité.","Inscription","Document requis","service administratif"
"Que dois-je faire pour être sûr que mon dossier est accepté ?","Vérifie chaque pièce, fais certifier tes documents et dépose ton dossier avant la date limite.","Inscription","Document requis","service administratif"
"Où déposer mon dossier complet ?","À la Direction des Études de SUP’PTIC.","Inscription","Document requis","service administratif"
"Quand déposer mon dossier complet ?","Après admission, avant le début des cours.","Inscription","Document requis","service administratif"
"Qui vérifie mon dossier ?","Le service des inscriptions de SUP’PTIC.","Inscription","Document requis","service administratif"
"Que faire si une pièce est manquante ?","Complète ton dossier avant la date limite, sinon il est rejeté.","Inscription","Document requis","service administratif"
"Que faire si mes copies ne sont pas certifiées conformes ?","Ton dossier est rejeté, car seules les copies conformes sont valides.","Inscription","Document requis","service administratif"
"Que faire si mes photos sont floues ?","Elles ne sont pas acceptées, tu dois fournir des photos nettes.","Inscription","Document requis","service administratif"
"Que faire si mon diplôme est en mauvais état ?","Fournis une copie lisible et certifiée conforme.","Inscription","Document requis","service administratif"
"Que faire si je n’ai pas signé mon formulaire ?","Ton dossier est incomplet et rejeté.","Inscription","Document requis","service administratif"
"Que faire si je n’ai pas payé mes frais de scolarité ?","Tu ne peux pas commencer les cours.","Inscription","Document requis","service administratif"
"Que faire si je n’ai pas payé mes frais de concours ?","Tu ne peux pas participer au concours.","Inscription","Document requis","service administratif"
"Que faire si je n’ai pas d’attestation de réussite ?","Ton dossier est incomplet si ton diplôme officiel n’est pas encore disponible.","Inscription","Document requis","service administratif"
"Que faire si je dépose mon dossier en retard ?","Il n’est pas accepté, même s’il est complet.","Inscription","Document requis","service administratif"
"Pourquoi faut-il certifier les copies de diplômes ?","Pour garantir qu’elles sont conformes à l’original et éviter les fraudes.","Inscription","Document requis","service administratif"
"Combien de photos d’identité sont exigées ?","Quatre, mais garde-en toujours une en réserve.","Inscription","Document requis","service administratif"
"Pourquoi faut-il un formulaire d’inscription signé ?","Parce qu’il engage officiellement le candidat auprès de l’école.","Inscription","Document requis","service administratif"
"Que prouve l’acte de naissance ?","Il confirme ton identité et ton état civil.","Inscription","Document requis","service administratif"
"Que prouve le diplôme du Bac ?","Il atteste que tu as atteint le niveau requis pour entrer à SUP’PTIC.","Inscription","Document requis","service administratif"
"Que prouve le relevé de notes ?","Il montre ton parcours scolaire et tes résultats.","Inscription","Document requis","service administratif"
"Que prouve la carte nationale d’identité ?","Elle confirme ton identité officielle et ta nationalité.","Inscription","Document requis","service administratif"
"Que prouve la quittance de concours ?","Que tu as payé tes droits d’examen.","Inscription","Document requis","service administratif"
"Que prouve le reçu de scolarité ?","Que tu as payé tes frais d’inscription et que tu es officiellement étudiant.","Inscription","Document requis","service administratif"
"Que prouve le certificat médical ?","Que tu es apte physiquement à suivre les cours.","Inscription","Document requis","service administratif"
"Que prouve la photo d’identité ?","Elle permet de t’identifier dans les dossiers administratifs.","Inscription","Document requis","service administratif"
"Que se passe-t-il si mon certificat médical est trop vieux ?","Il n’est pas accepté, tu dois en fournir un récent.","Inscription","Document requis","service administratif"
"Que se passe-t-il si mes copies ne sont pas certifiées conformes ?","Ton dossier est rejeté.","Inscription","Document requis","service administratif"
"Que se passe-t-il si mes photos sont floues ?","Elles ne sont pas acceptées.","Inscription","Document requis","service administratif"
"Que se passe-t-il si mon relevé de notes est incomplet ?","Ton dossier est incomplet.","Inscription","Document requis","service administratif"
"Que se passe-t-il si mon diplôme est en mauvais état ?","Tu dois fournir une copie lisible.","Inscription","Document requis","service administratif"
"Que se passe-t-il si je n’ai pas signé mon formulaire ?","Ton dossier est rejeté.","Inscription","Document requis","service administratif"
"Que se passe-t-il si je n’ai pas payé mes frais de scolarité ?","Tu ne peux pas suivre les cours.","Inscription","Document requis","service administratif"
"Que se passe-t-il si je n’ai pas payé mes frais de concours ?","Tu ne peux pas participer.","Inscription","Document requis","service administratif"
"Que se passe-t-il si je n’ai pas d’attestation de réussite ?","Ton dossier est incomplet.","Inscription","Document requis","service administratif"
"Que se passe-t-il si je dépose mon dossier en retard ?","Il est refusé.","Inscription","Document requis","service administratif"
"Où dois-je déposer mon reçu de paiement ?","Dans ton dossier administratif à SUP’PTIC.","Inscription","Document requis","service administratif"
"Qui délivre le reçu de scolarité ?","La Campost.","Inscription","Document requis","service administratif"
"Que faire si mon reçu est illisible ?","Demande un duplicata.","Inscription","Document requis","service administratif"
"Que faire si mon relevé de notes est manquant ?","Fournis-le rapidement, sinon ton dossier est rejeté.","Inscription","Document requis","service administratif"
"Que faire si mon acte de naissance est ancien ?","Fournis une copie récente certifiée conforme.","Inscription","Document requis","service administratif"
"Que faire si ma carte d’identité est expirée ?","Renouvelle-la avant de déposer ton dossier.","Inscription","Document requis","service administratif"
"Que faire si mes photos ne respectent pas le format ?","Refais-les dans un studio agréé.","Inscription","Document requis","service administratif"
"Que faire si mon certificat médical n’est pas signé ?","Il est invalide, tu dois en fournir un nouveau.","Inscription","Document requis","service administratif"
"Que faire si mon formulaire est incomplet ?","Remplis-le correctement avant dépôt.","Inscription","Document requis","service administratif"
"Que faire si je n’ai pas payé mes frais d’inscription ?","Ton inscription est bloquée.","Inscription","Document requis","service administratif"
"Que faire si je n’ai pas payé mes frais de scolarité ?","Tu ne peux pas commencer les cours.","Inscription","Document requis","service administratif"
"Que faire si je n’ai pas payé mes frais de concours ?","Tu ne peux pas participer.","Inscription","Document requis","service administratif"
"Que faire si je n’ai pas d’attestation de réussite ?","Ton dossier est incomplet.","Inscription","Document requis","service administratif"
"Que faire si je dépose mon dossier en retard ?","Il est refusé.","Inscription","Document requis","service administratif"
"Pourquoi faut-il un certificat médical récent ?","Pour garantir que tu es apte au moment de l’inscription.","Inscription","Document requis","service administratif"
"Pourquoi faut-il des photos récentes ?","Pour que ton image corresponde à ton apparence actuelle.","Inscription","Document requis","service administratif"
"Pourquoi faut-il un relevé de notes complet ?","Pour vérifier ton parcours académique.","Inscription","Document requis","service administratif"
"Pourquoi faut-il une carte d’identité valide ?","Pour confirmer ton identité officielle.","Inscription","Document requis","service administratif"
"Pourquoi faut-il un acte de naissance certifié ?","Pour valider ton état civil.","Inscription","Document requis","service administratif"
"Pourquoi faut-il un formulaire signé ?","Parce qu’il engage officiellement le candidat.","Inscription","Document requis","service administratif"
"Pourquoi faut-il un reçu de scolarité ?","Pour prouver que tu as payé tes frais.","Inscription","Document requis","service administratif"
"Pourquoi faut-il une quittance de concours ?","Pour prouver que tu as payé tes droits d’examen.","Inscription","Document requis","service administratif"
"Que faire si mon certificat médical est incomplet ?","Fournis-en un nouveau complet.","Inscription","Document requis","service administratif"
"Que faire si mes photos sont trop anciennes ?","Refais-les.","Inscription","Document requis","service administratif"
"Que faire si mon relevé de notes est illisible ?","Fournis une copie claire.","Inscription","Document requis","service administratif"
"Que faire si ma carte d’identité est abîmée ?","Renouvelle-la.","Inscription","Document requis","service administratif"
"Que faire si mon acte de naissance est illisible ?","Fournis une copie claire et certifiée conforme, sinon ton état civil ne sera pas validé.","Inscription","Document requis","service administratif"
"Que faire si ma carte d’identité est expirée ?","Renouvelle-la avant de déposer ton dossier, car une carte expirée n’est pas acceptée.","Inscription","Document requis","service administratif"
"Que faire si mes photos ne respectent pas le format demandé ?","Refais-les dans un studio agréé, avec le bon format officiel.","Inscription","Document requis","service administratif"
"Que faire si mon certificat médical n’est pas signé ?","Il est invalide, tu dois en fournir un nouveau signé par un médecin agréé.","Inscription","Document requis","service administratif"
"Que faire si mon formulaire d’inscription est incomplet ?","Remplis-le correctement avant dépôt, car un formulaire incomplet bloque ton inscription.","Inscription","Document requis","service administratif"
"Que faire si je n’ai pas payé mes frais d’inscription ?","Ton inscription est bloquée, même si ton dossier est complet.","Inscription","Document requis","service administratif"
"Que faire si je n’ai pas payé mes frais de scolarité ?","Tu ne peux pas commencer les cours tant que le paiement n’est pas effectué.","Inscription","Document requis","service administratif"
"Que faire si je n’ai pas payé mes frais de concours ?","Tu ne peux pas participer au concours, ton dossier est rejeté.","Inscription","Document requis","service administratif"
"Que faire si je dépose mon dossier en retard ?","Il est refusé, même s’il est complet.","Inscription","Document requis","service administratif"
"Pourquoi faut-il un certificat médical récent ?","Pour garantir que tu es apte au moment de l’inscription, pas seulement dans le passé.","Inscription","Document requis","service administratif"
"Pourquoi faut-il des photos récentes ?","Pour que ton image corresponde à ton apparence actuelle dans les dossiers.","Inscription","Document requis","service administratif"
"Pourquoi faut-il une carte d’identité valide ?","Pour confirmer ton identité officielle et éviter les fraudes.","Inscription","Document requis","service administratif"
"Pourquoi faut-il un acte de naissance certifié ?","Pour valider ton état civil et ton identité légale.","Inscription","Document requis","service administratif"
"Pourquoi faut-il un formulaire signé ?","Parce qu’il engage officiellement le candidat auprès de l’école.","Inscription","Document requis","service administratif"
"Quel est le conseil le plus important pour réussir ton inscription ?","Prépare ton dossier à temps, vérifie chaque pièce, paie tes frais à la caisse ou à la banque partenaire, et assure-toi que tout est conforme.","Inscription","Document requis","service administratif"
