Question                                                                                         , Reponse                                                                                                                                                                                                   , Categorie             , SousTheme                , Source
Quelles sont les deux grandes branches de formation proposées à SUP'PTIC ?                       , SUP'PTIC propose deux grandes branches de formation : l'Ingénierie (télécommunications et technologies) et le Management (postes et télécommunications).                                                  , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Combien de campus SUP'PTIC possède-t-il et où sont-ils situés ?                                  , SUP'PTIC possède 2 campus : un à Yaoundé (campus principal) et un à Buea (annexe).                                                                                                                        , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Quelles formations en ingénierie sont offertes sur le campus de Buea ?                           , Le campus de Buea offre deux formations : Agent Technique des Télécommunications et Technicien des Télécommunications.                                                                                    , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/
Quelle est la durée de formation pour devenir Agent Technique des Télécommunications ?           , La formation d'Agent Technique des Télécommunications dure 1 an.                                                                                                                                          , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/
Quel est le niveau requis pour accéder à la formation d'Agent Technique des Télécommunications ? , Le niveau requis est le Probatoire scientifique.                                                                                                                                                          , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/
Quelle est la durée de formation pour devenir Technicien des Télécommunications ?                , La formation de Technicien des Télécommunications dure 2 ans.                                                                                                                                             , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/
Quels sont les prérequis pour intégrer la formation de Technicien des Télécommunications ?       , Il faut avoir un Baccalauréat scientifique ou un diplôme d'agent technique des télécommunications.                                                                                                        , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/
Quelles sont les principales missions d'un Agent Technique des Télécommunications ?              , L'agent technique installe le matériel de télécommunications électrique électronique et électromécanique sur site ou en atelier.                                                                          , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-technicien-des-telecommunications/
Quelles compétences doit avoir un Technicien des Télécommunications selon SUP'PTIC ?             , Le technicien doit avoir un esprit d'analyse et diagnostic technique la mobilité l'autonomie la précision et la rapidité d'exécution et idéalement maîtriser l'anglais.                                   , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/
Quel diplôme obtient-on après le premier cycle d'ingénierie à Yaoundé ?                          , On obtient le diplôme d'Ingénieur des Travaux de Télécommunications après 3 ans de formation.                                                                                                             , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/
Combien de spécialisations sont proposées pour les Ingénieurs des Travaux de Télécommunications ?, Trois spécialisations sont proposées : Informatique et Réseaux (IR) Réseaux et Télécommunications (RT) et Radiocommunication (RC).                                                                        , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/
À quel moment les étudiants ITT se spécialisent-ils ?                                            , Les étudiants ITT font un tronc commun pendant les 3 premiers semestres puis se spécialisent au 4ème semestre.                                                                                            , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/
Quelle est la durée du stage pour les Ingénieurs des Travaux de Télécommunications ?             , Le stage dure 2 mois.                                                                                                                                                                                     , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/
Quel est le niveau requis pour intégrer la formation ITT ?                                       , Il faut avoir un Baccalauréat scientifique ou technique.                                                                                                                                                  , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/
Que signifie la spécialisation IR en ingénierie ?                                                , IR signifie Informatique et Réseaux.                                                                                                                                                                      , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/
Quelles sont les missions d'un diplômé en Informatique et Réseaux ?                              , Les missions incluent l'installation et paramétrage des réseaux internes les mises à jour et contrôles réguliers la maintenance de la sécurité du système et la gestion des outils softwares et hardwares., Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/
Que signifie la spécialisation RT ?                                                              , RT signifie Réseaux et Télécommunications.                                                                                                                                                                , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/
Que peut faire un diplômé en Réseaux et Télécommunications ?                                     , Il peut installer configurer et maintenir tout type de matériel lié à la téléphonie fixe ou mobile proposer et concevoir l'architecture d'un réseau unifié et rédiger des propositions commerciales.      , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/
Que signifie la spécialisation RC ?                                                              , RC signifie Radiocommunication.                                                                                                                                                                           , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/
Quel est l'objectif de la formation en Radiocommunication ?                                      , Former des assistants d'ingénieurs et assistants chef de projet capables de concevoir et mettre en œuvre les dispositifs utilisés dans les systèmes de radiocommunications.                               , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/
Quels types d'activités pratiques font les étudiants ITT durant leur formation ?                 , En première année ils effectuent une visite d'entreprise en deuxième année un stage d'imprégnation de 2 mois et en troisième année ils soumettent un projet de fin d'étude.                               , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/
Quel diplôme obtient-on après le second cycle d'ingénierie ?                                     , On obtient le diplôme d'Ingénieur des Télécommunications après 2 ans de formation.                                                                                                                        , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-telecommunications/
Quelle est la durée de formation pour devenir Ingénieur des Télécommunications ?                 , La formation dure 2 ans.                                                                                                                                                                                  , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-telecommunications/
Quel est le niveau requis pour accéder au cycle Master en ingénierie ?                           , Il faut avoir une Licence ou Master 1 scientifique ou un diplôme d'Ingénieur des Travaux.                                                                                                                 , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-telecommunications/
Quelle est la durée du stage pour les Ingénieurs des Télécommunications ?                        , Le stage dure 5 mois.                                                                                                                                                                                     , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-telecommunications/
Combien de spécialisations sont offertes au cycle Master d'ingénierie ?                          , Deux spécialisations sont offertes : Sécurité des Réseaux et Systèmes (SERES) et Services et Radiomobiles (SRM).                                                                                          , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-telecommunications/
Quand se fait la spécialisation au cycle Master d'ingénierie ?                                   , Au premier semestre les étudiants font un tronc commun puis se spécialisent au début du second semestre.                                                                                                  , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-telecommunications/
Que signifie SERES ?                                                                             , SERES signifie Sécurité des Réseaux et Systèmes.                                                                                                                                                          , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-telecommunications/
Que signifie SRM ?                                                                               , SRM signifie Services et Radiomobiles.                                                                                                                                                                    , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-telecommunications/
Quels systèmes sont étudiés dans la spécialisation SRM ?                                         , Les systèmes LTE LTE Advanced 5G Internet des objets virtualisation dans les réseaux mobiles (NFV/SDN) et le cloud sont étudiés.                                                                          , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-telecommunications/
Quelles formations en management sont proposées à Buea ?                                         , Buea propose Agent d'Exploitation des Postes et Télécommunications et Contrôleur des Postes et Télécommunications.                                                                                        , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-dexploitation-controleur-des-postes-et-telecommunications/
Quelle est la durée de formation pour Agent d'Exploitation ?                                     , La formation dure 1 an.                                                                                                                                                                                   , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-dexploitation-controleur-des-postes-et-telecommunications/
Quel est le niveau requis pour devenir Agent d'Exploitation ?                                    , Il faut avoir le BEPC ou GCE O level.                                                                                                                                                                     , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-dexploitation-controleur-des-postes-et-telecommunications/
Quelle est la durée de formation pour Contrôleur des Postes et Télécommunications ?              , La formation dure 2 ans.                                                                                                                                                                                  , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-dexploitation-controleur-des-postes-et-telecommunications/
Quel est le niveau requis pour devenir Contrôleur des Postes et Télécommunications ?             , Il faut avoir tout baccalauréat ou être titulaire d'un diplôme d'Agent d'Exploitation avec un baccalauréat.                                                                                               , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-dexploitation-controleur-des-postes-et-telecommunications/
Quel diplôme obtient-on après le premier cycle management à Yaoundé ?                            , On obtient le diplôme d'Inspecteur des Postes et Télécommunications après 3 ans.                                                                                                                          , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Quelle est la durée de formation au premier cycle management ?                                   , La formation dure 3 ans.                                                                                                                                                                                  , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Quel est le niveau requis pour le premier cycle management à Yaoundé ?                           , Tout baccalauréat est accepté.                                                                                                                                                                            , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Quelle est la durée du stage au premier cycle management ?                                       , Le stage dure 2 mois.                                                                                                                                                                                     , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Combien de spécialisations sont offertes au premier cycle management ?                           , Cinq spécialisations sont offertes : Management (MGT) Techniques d'Exploitation Postale (TEP) Comptabilité et Finances (CF) Logistique et Transport (LT) et Commerce et Distribution.                     , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Quand se fait la spécialisation au premier cycle management ?                                    , Après un tronc commun de 3 semestres les étudiants se spécialisent au 4ème semestre.                                                                                                                      , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Que signifie MGT comme spécialisation ?                                                          , MGT signifie Management.                                                                                                                                                                                  , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Quel est l'objectif de la formation en Management ?                                              , Former aux différents niveaux de gestion des entreprises de télécoms incluant l'environnement institutionnel commercial la finance les ressources humaines la communication et le marketing.              , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Que signifie TEP comme spécialisation ?                                                          , TEP signifie Techniques d'Exploitation Postale.                                                                                                                                                           , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Que signifie CF comme spécialisation ?                                                           , CF signifie Comptabilité et Finances.                                                                                                                                                                     , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Quels sont les objectifs de la formation en Comptabilité et Finances ?                           , Comprendre l'unité du travail en finance-comptabilité superviser les travaux comptables acquérir les bases pour travailler en banques assurances et entreprises industrielles.                            , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Que signifie LT comme spécialisation ?                                                           , LT signifie Logistique et Transport.                                                                                                                                                                      , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Quel est l'objectif de la formation en Logistique et Transport ?                                 , Former des professionnels qui organisent le transport national et international assurent le dédouanement et gèrent les activités d'entreposage réception et expédition.                                   , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Qu'apprend-on dans la filière Commerce et Distribution ?                                         , On apprend les métiers de l'encadrement en magasin l'organisation la gestion la théâtralisation la vente et le management d'équipe de vente.                                                              , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Quelles activités pratiques font les étudiants IPT durant leur formation ?                       , En première année visite d'entreprise en deuxième année stage d'imprégnation de 2 mois et en troisième année projet de fin d'étude.                                                                       , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/premier-cycle-yaounde/
Quel diplôme obtient-on après le second cycle management ?                                       , On obtient le diplôme d'Administrateur des Postes et Télécommunications après 2 ans.                                                                                                                      , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/second-cycle-yaounde/
Quelle est la durée de formation au second cycle management ?                                    , La formation dure 2 ans.                                                                                                                                                                                  , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/second-cycle-yaounde/
Quel est le niveau requis pour le second cycle management ?                                      , Toutes Licences ou Master 1 ou un diplôme d'Inspecteur des Télécommunications.                                                                                                                            , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/second-cycle-yaounde/
Quelle est la durée du stage au second cycle management ?                                        , Le stage dure 5 mois.                                                                                                                                                                                     , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/second-cycle-yaounde/
Combien de spécialisations sont proposées au second cycle management ?                           , Trois spécialisations : Management des Entreprises des Postes et Télécommunications Réglementation et Régulation des Entreprises et Logistique et Transport.                                              , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/second-cycle-yaounde/
Quand se fait la spécialisation au second cycle management ?                                     , Après un tronc commun au premier semestre les étudiants se spécialisent au début du second semestre.                                                                                                      , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/second-cycle-yaounde/
Qu'apprend-on dans le Master Management des Entreprises des Postes et Télécommunications ?       , On acquiert les connaissances et compétences pour piloter les entreprises de postes et télécoms maîtriser les outils du management et comprendre les principes qui les fondent.                           , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/second-cycle-yaounde/
Quel est l'objectif du Master en Logistique et Transport ?                                       , Former des managers professionnels en transport et logistique spécialisés dans les problématiques des entreprises de postes et télécoms.                                                                  , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/second-cycle-yaounde/
Combien d'années d'existence a SUP'PTIC ?                                                        , SUP'PTIC a 56 années d'existence ayant été créée le 3 octobre 1969.                                                                                                                                       , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Combien de diplômes SUP'PTIC a-t-elle délivrés depuis sa création ?                              , SUP'PTIC a délivré plus de 10941 diplômes.                                                                                                                                                                , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Quels centres de formation spécialisés SUP'PTIC possède-t-elle ?                                 , SUP'PTIC possède un Centre de Formation CISCO un Centre de Formation Huawei et un Centre d'Excellence UIT.                                                                                                , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Qu'est-ce que la SUP'PTIC Business Academy ?                                                     , C'est une structure de SUP'PTIC dédiée à l'entrepreneuriat et aux formations professionnelles.                                                                                                            , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/supptic-business-academy/
Quelle est la modalité d'admission dans toutes les filières de SUP'PTIC ?                        , L'admission se fait par concours pour toutes les filières.                                                                                                                                                , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Les formations de SUP'PTIC suivent-elles le système LMD ?                                        , Oui SUP'PTIC suit le système LMD (Licence Master Doctorat).                                                                                                                                               , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/a-propos-de-nous/
Quelles sont les tutelles de SUP'PTIC ?                                                          , SUP'PTIC a une triple tutelle : technique (MINPOSTEL) académique (MINESUP) et financière (MINFI).                                                                                                         , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/a-propos-de-nous/
Peut-on faire une formation par alternance à SUP'PTIC ?                                          , Oui SUP'PTIC propose des formations par alternance notamment pour le cycle Master et Licence I & II.                                                                                                      , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
SUP'PTIC propose-t-elle des formations en ligne ?                                                , Oui SUP'PTIC propose des formations en E-learning accessibles via la plateforme training.e-supptic.cm.                                                                                                    , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ et https://training.e-supptic.cm/
Quelle est la différence entre Ingénieur des Travaux et Ingénieur des Télécommunications ?       , L'Ingénieur des Travaux est un premier cycle (Licence 3 ans) tandis que l'Ingénieur des Télécommunications est un second cycle (Master 2 ans).                                                            , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Quelle est la différence entre Inspecteur et Administrateur des Postes et Télécommunications ?   , L'Inspecteur est obtenu après le premier cycle (Licence 3 ans) tandis que l'Administrateur est obtenu après le second cycle (Master 2 ans).                                                               , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Peut-on passer d'une filière d'ingénierie à une filière de management ?                          , Les passerelles entre filières existent mais sont soumises à conditions spécifiques à vérifier auprès de l'administration.                                                                                , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Un diplôme d'Agent Technique permet-il d'accéder à la formation de Technicien ?                  , Oui un diplôme d'Agent Technique des Télécommunications permet d'accéder à la formation de Technicien.                                                                                                    , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/
Un diplôme d'ITT permet-il d'accéder directement au Master d'ingénierie ?                        , Oui un diplôme d'Ingénieur des Travaux permet d'accéder au cycle Master pour devenir Ingénieur des Télécommunications.                                                                                    , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-telecommunications/
Peut-on accéder au Master d'ingénierie avec une Licence non technique ?                          , Non il faut avoir une Licence ou Master 1 scientifique ou un diplôme d'Ingénieur des Travaux.                                                                                                             , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-telecommunications/
Peut-on accéder au Master management avec un diplôme d'ingénierie ?                              , Cela dépend des conditions spécifiques mais généralement toutes Licences sont acceptées pour le Master management.                                                                                        , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/second-cycle-yaounde/
Y a-t-il des formations continues à SUP'PTIC ?                                                   , Oui SUP'PTIC propose des formations continues et dispose d'une plateforme E-learning.                                                                                                                     , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ et https://training.e-supptic.cm/
Quelles nouvelles filières SUP'PTIC envisage-t-elle d'ouvrir ?                                   , SUP'PTIC envisage d'ouvrir des filières en Intelligence Artificielle Internet des Objets Géomatique Économie Numérique et Cyber Sécurité.                                                                 , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/a-propos-de-nous/
SUP'PTIC forme-t-elle en Intelligence Artificielle ?                                             , SUP'PTIC prévoit d'introduire une formation en Intelligence Artificielle et Réseaux Intelligents dans ses perspectives futures.                                                                           , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/a-propos-de-nous/
Y a-t-il une formation en Géomatique à SUP'PTIC ?                                                , Une formation en Géomatique fait partie des perspectives d'avenir de SUP'PTIC.                                                                                                                            , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/a-propos-de-nous/
SUP'PTIC propose-t-elle un MBA ?                                                                 , SUP'PTIC envisage l'introduction d'un MBA (Master in Business Administration) en gestion des télécommunications.                                                                                          , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/a-propos-de-nous/
Y a-t-il un programme doctoral à SUP'PTIC ?                                                      , SUP'PTIC envisage l'acquisition d'un nouveau site pour abriter une école doctorale.                                                                                                                       , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/a-propos-de-nous/
Toutes les formations de SUP'PTIC sont-elles disponibles à Yaoundé et Buea ?                     , Non les formations diffèrent selon le campus. Yaoundé offre plus de programmes tandis que Buea propose principalement les premiers cycles.                                                                , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Quelle langue d'enseignement est utilisée à SUP'PTIC ?                                           , Le français est la principale langue d'enseignement à Yaoundé et l'anglais à Buea avec un renforcement des capacités linguistiques.                                                                       , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Les diplômes de SUP'PTIC sont-ils reconnus internationalement ?                                  , SUP'PTIC suit le système LMD et est accréditée par le MINESUP ce qui favorise la reconnaissance internationale de ses diplômes.                                                                           , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/a-propos-de-nous/
Y a-t-il des partenariats internationaux pour les formations ?                                   , Oui SUP'PTIC dispose de partenaires internationaux notamment CISCO Huawei et l'UIT pour certaines formations spécialisées.                                                                                , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Peut-on obtenir des certifications internationales à SUP'PTIC ?                                  , Oui notamment via le Centre de Formation CISCO et le Centre de Formation Huawei.                                                                                                                          , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Quelle est la capacité d'accueil du plus grand amphithéâtre de SUP'PTIC ?                        , SUP'PTIC dispose d'un amphithéâtre de 400 places.                                                                                                                                                         , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/nos-plus/
SUP'PTIC dispose-t-elle de laboratoires équipés ?                                                , Oui SUP'PTIC dispose de laboratoires équipés et prévoit leur modernisation continue.                                                                                                                      , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/nos-plus/
Les étudiants ont-ils accès à Internet sur le campus ?                                           , Oui SUP'PTIC offre un accès Wifi haut débit à ses étudiants.                                                                                                                                              , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/nos-plus/
Y a-t-il un système de transport pour les étudiants ?                                            , Oui SUP'PTIC dispose de bus de transport pour ses étudiants.                                                                                                                                              , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/nos-plus/
Quelles activités sportives sont disponibles à SUP'PTIC ?                                        , SUP'PTIC dispose d'aires de jeux pour le développement du sport.                                                                                                                                          , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/nos-plus/
Quelle est la mission principale de SUP'PTIC ?                                                   , Former des techniciens et cadres supérieurs en postes télécommunications et TIC assurer la formation continue et mener la recherche appliquée.                                                            , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/a-propos-de-nous/
Y a-t-il une bibliothèque à SUP'PTIC ?                                                           , SUP'PTIC prévoit la construction d'une bibliothèque numérique avec financement de la BAD.                                                                                                                 , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/a-propos-de-nous/
SUP'PTIC forme-t-elle en fibre optique ?                                                         , SUP'PTIC prévoit la construction et l'équipement d'un Centre de Compétences aux Métiers de la Fibre Optique.                                                                                              , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/a-propos-de-nous/
Les formations préparent-elles à l'entrepreneuriat ?                                             , Oui SUP'PTIC dispose d'un incubateur d'entreprise et de la SUP'PTIC Business Academy pour favoriser l'entrepreneuriat.                                                                                    , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Quelle est l'approche pédagogique de SUP'PTIC ?                                                  , SUP'PTIC adopte une approche basée sur la pratique avec stages visites d'entreprise projets de fin d'études et travaux pratiques en laboratoire.                                                          , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Les formations sont-elles professionnalisantes ?                                                 , Oui toutes les formations de SUP'PTIC sont professionnalisantes avec des stages obligatoires et des projets pratiques.                                                                                    , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Quelle est la différence entre les formations du campus de Yaoundé et Buea ?                     , Yaoundé offre tous les cycles (Licence et Master) en ingénierie et management tandis que Buea se concentre sur les premiers cycles avec 4 formations.                                                     , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Combien de filières au total SUP'PTIC propose-t-elle ?                                           , SUP'PTIC propose 13 filières distinctes réparties entre ingénierie et management sur ses deux campus.                                                                                                     , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/
Les diplômes de SUP'PTIC permettent-ils de travailler dans le secteur privé ?                    , Oui les diplômes de SUP'PTIC sont reconnus et permettent de travailler tant dans le secteur public que privé notamment chez les opérateurs télécoms.                                                      , Programmes académiques, Présentation des filières, À vérifier auprès de SUP'PTIC - https://e-supptic.cm/